Species,Species.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,First.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Quercus alba,Quercus alba,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,1,1,wfo-0000289457,urn:lsid:ipni.org:names:295763-1,171499,Quercus alba,species,wfo-1000040899,L.,Fagaceae,,,NA,Quercus,Quercus,alba,,species,Valid,Sp. Pl. : 996 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 996 1753  to Sp. Pl. : 996 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-171499 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-171499,The Fagaceae TEN,A,kew-171499,,FALSE,,,
Quercus polycarpa,Quercus polycarpa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,2,1,wfo-0000292573,urn:lsid:ipni.org:names:296605-1,174486,Quercus polycarpa,species,,Schur,Fagaceae,,,NA,Quercus,Quercus,polycarpa,,species,,Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 (1851),Unchecked,,,NA,"Source in seed data: wcs Update namepublishedIn from Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 1851  to Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 2: 174 (1851), information provided by Alan E. on email Jun. 07 2021 ",http://www.theplantlist.org/tpl1.1/record/kew-174486,The Fagaceae TEN,A,kew-174486,,FALSE,,,
Digitaria ischaemum,Digitaria ischaemum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,3,1,wfo-0000864055,urn:lsid:ipni.org:names:398891-1,409080,Digitaria ischaemum,species,wfo-4000011700,(Schreb.) Muhl.,Poaceae,,,NA,Digitaria,,ischaemum,,species,Valid,Descr. Gram. : 131 (1817),Accepted,,wfo-0000884693,NA,"Source in seed data: wcs Update namepublishedIn from Descr. Gram. 131 1817  to Descr. Gram. : 131 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-409080 >T",http://www.theplantlist.org/tpl1.1/record/kew-409080,The Poaceae TEN,A,kew-409080,,FALSE,,,
Trifolium campestre,Trifolium campestre,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,4,1,wfo-0000212979,urn:lsid:ipni.org:names:166197-3,8057,Trifolium campestre,species,wfo-4000039133,Schreb.,Fabaceae,,,NA,Trifolium,,campestre,,species,Valid,"J.Sturm, Deutschl. Fl. Abbild.4: 16 (1804)",Accepted,,,NA,"Source in seed data: ildis Updated namepublishedIn from  to - =  Deutschlands Flora] 1(4) (ante Oct. 1800) t. XVII.4., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",https://www.legumedata.org/taxonomy/taxon/439378,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-8057,,FALSE,,,
Trifolium campestre,Trifolium campestre,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,4,2,wfo-0000213947,urn:lsid:ipni.org:names:257849-2,9009,Trifolium aureum,species,wfo-4000039133,Pollich,Fabaceae,,,NA,Trifolium,,aureum,,species,Valid,Hist. Pl. Palat.2: 344 (1777),Accepted,,,NA,Source in seed data: ildis More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-9009 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/ild-9009 >The Plant List v.1.0</a>,https://www.legumedata.org/taxonomy/taxon/440847,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-9009,,TRUE,Synonym,wfo-1200021682,Trifolium campestre
Physaria fendleri,Physaria fendleri,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,5,1,wfo-0001266229,urn:lsid:ipni.org:names:20008539-1,50221301,Physaria fendleri,species,wfo-4000029511,(A.Gray) O'Kane & Al-Shehbaz,Brassicaceae,,,NA,Physaria,,fendleri,,species,Valid,Novon 12(3): 323. 2002,Accepted,,wfo-0001241995,NA,"Source in seed data: tro Updated namePublishedIn from Novon 12(3): 323 2002  to Novon 12(3): 323. 2002 , according to IPNI. Information provided by Alan E. on email Jul. 15 2020. More details could be found in <a href=http://www.theplantlist.org/tpl1.1/r",http://www.theplantlist.org/tpl1.1/record/tro-50221301,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-50221301,,FALSE,,,
Quercus pubescens,Quercus pubescens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,6,1,wfo-0000292685,urn:lsid:ipni.org:names:326376-2,174591,Quercus pubescens,species,wfo-1000040899,Willd.,Fagaceae,,,NA,Quercus,Quercus,pubescens,,species,Valid,Berlin. Baumz. : 279 (1796),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Berlin. Baumz. 279 1796  to Berlin. Baumz. : 279 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-17459",http://www.theplantlist.org/tpl1.1/record/kew-174591,The Fagaceae TEN,A,kew-174591,,FALSE,,,
Mentzelia oreophila,Mentzelia oreophila,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,7,1,wfo-0001073693,urn:lsid:ipni.org:names:157484-2,18900231,Mentzelia oreophila,species,wfo-4000023752,J.Darl.,Loasaceae,,,NA,Mentzelia,,oreophila,,species,Valid,Ann. Missouri Bot. Gard. 21: 175 (1934),Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from Ann. Missouri Bot. Gard. 21(1): 175–176 1934  to Ann. Missouri Bot. Gard. 21: 175 (1934), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepl",http://www.theplantlist.org/tpl1.1/record/tro-18900231,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-18900231,,FALSE,,,
Urochloa oblita,Urochloa oblita,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,8,1,wfo-0000906868,urn:lsid:ipni.org:names:972088-1,449515,Urochloa oblita,species,wfo-4000039845,(Swallen) Morrone & Zuloaga,Poaceae,,,NA,Urochloa,,oblita,,species,Valid,Darwiniana 31: 92 (1992),Accepted,,wfo-0000885462,NA,"Source in seed data: wcs Update namepublishedIn from Darwiniana 31: 92 1992  to Darwiniana 31: 92 (1992), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-449515 >T",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:972088-1,The Poaceae TEN,A,kew-449515,,FALSE,,,
Commelina erecta,Commelina erecta,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,9,1,wfo-0000358795,urn:lsid:ipni.org:names:172048-1,233875,Commelina erecta,species,wfo-4000009041,L.,Commelinaceae,,,NA,Commelina,,erecta,,species,Valid,Sp. Pl. : 41 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 41 1753  to Sp. Pl. : 41 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-233875 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-233875,The Commelinales TEN,A,kew-233875,,FALSE,,,
Danthonia decumbens,Danthonia decumbens,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,10,1,wfo-0000861886,urn:lsid:ipni.org:names:397531-1,407014,Danthonia decumbens,species,wfo-4000010743,DC.,Poaceae,,,NA,Danthonia,,decumbens,,species,Valid,"Fl. Franç. , ed. 3, 3: 33 (1805)",Accepted,,wfo-0000870242,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (L.) DC. to DC., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-407014 >The Plant List v.1.1.</a> O",,The Poaceae TEN,A,kew-407014,,FALSE,,,
Tragus racemosus,Tragus racemosus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,11,1,wfo-0000903975,urn:lsid:ipni.org:names:1084305-2,446791,Tragus racemosus,species,wfo-4000038780,(L.) All.,Poaceae,,,NA,Tragus,,racemosus,,species,Valid,Fl. Pedem. 2: 241 (1785),Accepted,,wfo-0000858698,NA,"Source in seed data: wcs Update namepublishedIn from Fl. Pedem. 2: 241 1785  to Fl. Pedem. 2: 241 (1785), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-446791 >T",http://www.theplantlist.org/tpl1.1/record/kew-446791,The Poaceae TEN,A,kew-446791,,FALSE,,,
Panicum racemosum,Panicum racemosum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,12,1,wfo-0000886000,urn:lsid:ipni.org:names:412860-1,430021,Panicum racemosum,species,wfo-4000027882,Spreng.,Poaceae,,,NA,Panicum,,racemosum,,species,Valid,Syst. Veg. 1: 313 (1824),Accepted,,wfo-0000880489,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (P.Beauv.) Spreng. to Spreng., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-430021 >The Plant Lis",http://www.theplantlist.org/tpl1.1/record/kew-430021,The Poaceae TEN,A,kew-430021,,FALSE,,,
Garnotia tenella,Garnotia tenella,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,13,1,wfo-0000872844,urn:lsid:ipni.org:names:403906-1,417457,Garnotia tenella,species,wfo-4000015336,Janowski,Poaceae,,,NA,Garnotia,,tenella,,species,Valid,Repert. Spec. Nov. Regni Veg. 17: 86 (1921),Accepted,,wfo-0000853686,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Arn. ex Miq.) Janowski to Janowski, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-417457 >The Pla",http://www.theplantlist.org/tpl1.1/record/kew-417457,The Poaceae TEN,A,kew-417457,,FALSE,,,
Orcuttia pilosa,Orcuttia pilosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,14,1,wfo-0000882210,urn:lsid:ipni.org:names:175804-2,426477,Orcuttia pilosa,species,wfo-4000027043,Hoover,Poaceae,,,NA,Orcuttia,,pilosa,,species,Valid,Bull. Torrey Bot. Club 68: 166 (1941),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Bull. Torrey Bot. Club 68: 166 1941  to Bull. Torrey Bot. Club 68: 166 (1941), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t",http://www.theplantlist.org/tpl1.1/record/kew-426477,The Poaceae TEN,A,kew-426477,,FALSE,,,
Saccharum spontaneum,Saccharum spontaneum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,15,1,wfo-0000896738,urn:lsid:ipni.org:names:420031-1,440049,Saccharum spontaneum,species,wfo-4000033729,L.,Poaceae,,,NA,Saccharum,,spontaneum,,species,Valid,Mant. Pl. 2: 183 (1771),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Mant. Pl. 2: 183 1771  to Mant. Pl. 2: 183 (1771), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-440049 >The",http://www.theplantlist.org/tpl1.1/record/kew-440049,The Poaceae TEN,A,kew-440049,,FALSE,,,
Acer stachyophyllum,Acer stachyophyllum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,16,1,wfo-0000515132,urn:lsid:ipni.org:names:781517-1,748871,Acer stachyophyllum,species,wfo-4000000188,Hiern,Sapindaceae,Hippocastanoideae,,NA,Acer,,stachyophyllum,,species,Valid,Fl. Brit. India 1: 694 (1875),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Fl. Brit. India 1: 694 1875  to Fl. Brit. India 1: 694 (1875), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",http://www.theplantlist.org/tpl1.1/record/kew-2616485,The Sapindaceae Taxonomic Expert Network,A,kew-2616485,,FALSE,,,
Castanopsis carlesii,Castanopsis carlesii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,17,1,wfo-0000812968,urn:lsid:ipni.org:names:358333-1,35110,Castanopsis carlesii,species,wfo-4000006931,(Hemsl.) Hayata,Fagaceae,,,NA,Castanopsis,,carlesii,,species,Valid,Icon. Pl. Formosan. 6(Suppl.): 72 (1917),Accepted,,wfo-0000289973,NA,"Source in seed data: wcs Update namepublishedIn from Icon. Pl. Formosan. 6(Suppl.): 72 1917  to Icon. Pl. Formosan. 6(Suppl.): 72 (1917), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist",http://www.theplantlist.org/tpl1.1/record/kew-35110,The Fagaceae TEN,A,kew-35110,,FALSE,,,
Mnesithea formosa,Mnesithea formosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,18,1,wfo-0000880357,urn:lsid:ipni.org:names:942819-1,424701,Mnesithea formosa,species,wfo-4000024475,(R.Br.) de Koning & Sosef,Poaceae,,,NA,Mnesithea,,formosa,,species,Valid,Blumea 31: 288 (1986),Accepted,,wfo-0000896289,NA,"Source in seed data: wcs Update namepublishedIn from Blumea 31: 288 1986  to Blumea 31: 288 (1986), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-424701 >The Pla",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:942819-1,The Poaceae TEN,A,kew-424701,,FALSE,,,
Erysimum cheiri,Erysimum cheiri,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,19,1,wfo-0001216667,urn:lsid:ipni.org:names:283703-1,4101296,Erysimum cheiri,species,wfo-4000013961,Crantz,Brassicaceae,,,NA,Erysimum,,cheiri,,species,Valid,Cl. Crucif. Emend. : 116 (1769),Accepted,,,NA,"Source in seed data: tro Updated scientificnameAuthorship from (L.) Crantz to Crantz, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-4101296 >The Plant List v.1.1",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:283703-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-4101296,,FALSE,,,
Moorochloa eruciformis,Moorochloa eruciformis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,20,1,wfo-0000880563,urn:lsid:ipni.org:names:77065028-1,424915,Moorochloa eruciformis,species,wfo-4000024817,(Sm.) Veldkamp,Poaceae,,,NA,Moorochloa,,eruciformis,,species,Valid,Reinwardtia 12: 139 (2004),Accepted,,wfo-0000884089,NA,"Source in seed data: wcs Update namepublishedIn from Reinwardtia 12(2): 139. 2004 [22 Nov 2004]  to Reinwardtia 12: 139 (2004), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77065028-1,The Poaceae TEN,A,kew-424915,,FALSE,,,
Urochloa venosa,Urochloa venosa,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,21,1,wfo-0000886798,urn:lsid:ipni.org:names:308759-2,430771,Panicum venosum,species,wfo-4000027882,Swallen,Poaceae,,,NA,Panicum,,venosum,,species,Valid,Contr. U.S. Natl. Herb. 29: 415 (1950),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Contr. U. S. Natl. Herb. 29: 415 1950  to Contr. U.S. Natl. Herb. 29: 415 (1950), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:308759-2,The Poaceae TEN,A,kew-430771,,TRUE,Synonym,wfo-0000906917,Urochloa venosa
Symphoricarpos occidentalis,Symphoricarpos occidentalis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,22,1,wfo-0001290668,urn:lsid:ipni.org:names:149463-1,6000161,Symphoricarpos occidentalis,species,wfo-4000037194,Hook.,Caprifoliaceae,,,NA,Symphoricarpos,,occidentalis,,species,Valid,Fl. Bor.-Amer. 1: 285 (1833),Accepted,,,NA,"Source in seed data: tro Updated scientificnameAuthorship from (R.Br.) Hook. to Hook., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-6000161 >The Plant List v.1.",http://www.theplantlist.org/tpl1.1/record/tro-6000161,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-6000161,,FALSE,,,
Cenchrus macrourus,Cenchrus macrourus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,23,1,wfo-0001241169,urn:lsid:ipni.org:names:60470539-2,50110910,Cenchrus caudatus,species,wfo-4000007152,(Schrad.) Kuntze,Poaceae,,,NA,Cenchrus,,caudatus,,species,Valid,Revis. Gen. Pl. 3(2): 346 (1898),Accepted,,wfo-0000873643,NA,"Source in seed data: tro Update namepublishedIn from Revis. Gen. Pl. 3[3]: 346. 1898 [28 Sep 1898]  to Revis. Gen. Pl. 3(2): 346 (1898), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60470539-2,The Poaceae TEN,A,tro-50110910,,TRUE,Synonym,wfo-0000917278,Cenchrus macrourus
Quercus robur,Quercus robur,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,24,1,wfo-0000292858,urn:lsid:ipni.org:names:304293-2,174750,Quercus robur,species,wfo-1000040899,L.,Fagaceae,,,NA,Quercus,Quercus,robur,,species,Valid,Sp. Pl. : 996 (1753),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 996 1753  to Sp. Pl. : 996 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-174750 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-174750,The Fagaceae TEN,A,kew-174750,,FALSE,,,
Quercus robur,Quercus robur,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,24,2,wfo-0000292879,urn:lsid:ipni.org:names:77189379-1,174771,Quercus robur  subsp. brutia,subspecies,wfo-0000292858,(Ten.) O.Schwarz,Fagaceae,,,NA,Quercus,Quercus,robur,brutia,subspecies,Valid,Notizbl. Bot. Gart. Berlin-Dahlem 13(116): 13 (1936),Accepted,,wfo-0000289868,NA,"Source in seed data: wcs Update namepublishedIn from Notizbl. Bot. Gart. Berlin-Dahlem 13(116): 13 1936  to Notizbl. Bot. Gart. Berlin-Dahlem 13(116): 13 (1936), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href",http://www.theplantlist.org/tpl1.1/record/kew-174771,The Fagaceae TEN,A,kew-174771,,TRUE,Synonym,wfo-0001275587,Quercus robur
Senna gardneri,Senna gardneri,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,25,1,wfo-0000175217,urn:lsid:ipni.org:names:911338-1,21344,Senna gardneri,species,wfo-4000035076,(Benth.) H.S.Irwin & Barneby,Fabaceae,,,NA,Senna,,gardneri,,species,Valid,Mem. New York Bot. Gard.35: 192 (1982),Accepted,,,NA,"Source in seed data: ildis Update namepublishedIn from  to Mem. New York Bot. Gard. 35: 192 (1982), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-21344 >The Plan",https://www.legumedata.org/taxonomy/taxon/490683,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-21344,,FALSE,,,
Mentzelia pterosperma,Mentzelia pterosperma,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,26,1,wfo-0001073698,urn:lsid:ipni.org:names:157502-2,18900236,Mentzelia pterosperma,species,wfo-4000023752,Eastw.,Loasaceae,,,NA,Mentzelia,,pterosperma,,species,Valid,"Proc. Calif. Acad. Sci. , ser. 2, 6: 290 (1896)",Accepted,,,NA,"Source in seed data: tro Update namepublishedIn from Proc. Calif. Acad. Sci., ser. 2, 6(17): 290 1896  to Proc. Calif. Acad. Sci. , ser. 2, 6: 290 (1896), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:/",http://www.theplantlist.org/tpl1.1/record/tro-18900236,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,tro-18900236,,FALSE,,,
Scleropogon brevifolius,Scleropogon brevifolius,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,27,1,wfo-0000898482,urn:lsid:ipni.org:names:421138-1,441695,Scleropogon brevifolius,species,wfo-4000034754,Phil.,Poaceae,,,NA,Scleropogon,,brevifolius,,species,Valid,Anales Univ. Chile 36: 206 (1870),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Sert. Mendoc. ii. 48.  to Anales Univ. Chile 36: 206 (1870), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-4",http://www.theplantlist.org/tpl1.1/record/kew-441695,The Poaceae TEN,A,kew-441695,,FALSE,,,
Megathyrsus maximus,Megathyrsus maximus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,28,1,wfo-0000878966,urn:lsid:ipni.org:names:60426565-2,423373,Megathyrsus maximus,species,wfo-4000023517,(Jacq.) B.K.Simon & S.W.L.Jacobs,Poaceae,,,NA,Megathyrsus,,maximus,,species,Valid,Austrobaileya 6: 572 (2003),Accepted,,wfo-0000885123,NA,"Source in seed data: wcs Update namepublishedIn from Austrobaileya 6: 572 2003  to Austrobaileya 6: 572 (2003), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-423",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60426565-2,The Poaceae TEN,A,kew-423373,,FALSE,,,
Blepharidachne kingii,Blepharidachne kingii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,29,1,wfo-0000853703,urn:lsid:ipni.org:names:392670-1,399244,Blepharidachne kingii,species,wfo-4000004766,Hack.,Poaceae,,,NA,Blepharidachne,,kingii,,species,Valid,Monogr. Phan. 6: 261 (1889),Accepted,,wfo-0000868711,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (S.Watson) Hack. to Hack., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-399244 >The Plant List v.",http://www.theplantlist.org/tpl1.1/record/kew-399244,The Poaceae TEN,A,kew-399244,,FALSE,,,
Commelina reptans,Commelina reptans,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,30,1,wfo-0000360655,urn:lsid:ipni.org:names:172294-1,234145,Commelina reptans,species,wfo-4000009041,Brenan,Commelinaceae,,,NA,Commelina,,reptans,,species,Valid,Kew Bull. 15: 208 (1961),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Kew Bull. 15(2): 208. 1961 [9 Oct 1961]  to Kew Bull. 15: 208 (1961), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec",http://www.theplantlist.org/tpl1.1/record/kew-234145,The Commelinales TEN,A,kew-234145,,FALSE,,,
Quercus chrysolepis,Quercus chrysolepis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,31,1,wfo-0000290135,urn:lsid:ipni.org:names:295951-1,172147,Quercus chrysolepis,species,wfo-1200024351,Liebm.,Fagaceae,,,NA,Quercus,Quercus,chrysolepis,,species,Valid,Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 173 (1854),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 173 1854  to Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider 1854: 173 (1854), information provided by Alan E. on e",http://www.theplantlist.org/tpl1.1/record/kew-172147,The Fagaceae TEN,A,kew-172147,,FALSE,,,
Ophiuros exaltatus,Ophiuros exaltatus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,32,1,wfo-0000881971,urn:lsid:ipni.org:names:409769-1,426255,Ophiuros exaltatus,species,wfo-4000026961,(L.) Kuntze,Poaceae,,,NA,Ophiuros,,exaltatus,,species,Valid,Revis. Gen. Pl. 2: 780 (1891),Accepted,,wfo-0000841687,NA,"Source in seed data: wcs Update namepublishedIn from Revis. Gen. Pl. 2: 780 1891  to Revis. Gen. Pl. 2: 780 (1891), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",http://www.theplantlist.org/tpl1.1/record/kew-426255,The Poaceae TEN,A,kew-426255,,FALSE,,,
Salix caprea,Salix caprea,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,33,1,wfo-0000929313,urn:lsid:ipni.org:names:303599-2,1033720,Salix caprea,species,wfo-4000033844,L.,Salicaceae,,,NA,Salix,,caprea,,species,Valid,Sp. Pl. : 1020 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1020 1753  to Sp. Pl. : 1020 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5001859 >The Plan",http://www.theplantlist.org/tpl1.1/record/kew-5001859,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-5001859,,FALSE,,,
