Species,Species.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,First.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name
Cirsium pannonicum,Cirsium pannonicum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,561,1,wfo-0000060966,urn:lsid:ipni.org:names:195798-1,GCC-1F192BED-0472-4DF5-8362-214047619747,Cirsium pannonicum,species,wfo-4000008373,Link,Asteraceae,,,NA,Cirsium,,pannonicum,,species,Valid,Enum. Hort. Berol. Alt. 2: 301 (1822),Accepted,,wfo-0000137959,NA,"Source in seed data: gcc Updated scientificnameAuthorship from (L.f.) Link to Link, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-17997 >The Plant List v.1.1.</a",http://www.theplantlist.org/tpl1.1/record/gcc-17997,The Asteraceaae TEN,A,gcc-17997,,FALSE,,,
Musa acuminata,Musa acuminata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,562,1,wfo-0000473834,urn:lsid:ipni.org:names:797527-1,254739-wcs,Musa acuminata,species,wfo-4000025011,Colla,Musaceae,,,NA,Musa,,acuminata,,species,Valid,Mem. Reale Accad. Sci. Torino 25: 394 (1820),Accepted,,,NA,"Source in seed data: wcs Update namepublishedIn from Mem. Reale Accad. Sci. Torino 25: 394 1820  to Mem. Reale Accad. Sci. Torino 25: 394 (1820), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:797527-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-254739,,FALSE,,,
Cirsium flodmanii,Cirsium flodmanii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,563,1,wfo-0000049055,urn:lsid:ipni.org:names:59020-2,GCC-28BA4F0C-4FAF-411A-9C74-1B61EA6FAD2A,Cirsium flodmanii,species,wfo-4000008373,Arthur,Asteraceae,,,NA,Cirsium,,flodmanii,,species,Valid,Torreya 12: 34 (1912),Accepted,,wfo-0000006974,NA,"Source in seed data: gcc Update namepublishedIn from Torreya 12 34 1912  to Torreya 12: 34 (1912), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-14757 >The Plant",http://www.theplantlist.org/tpl1.1/record/gcc-14757,The Asteraceaae TEN,A,gcc-14757,,FALSE,,,
Dimorphotheca sinuata,Dimorphotheca sinuata,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,564,1,wfo-0000040105,urn:lsid:ipni.org:names:201489-1,GCC-580600B3-4342-4486-B7FF-F15ADD646A6E,Dimorphotheca sinuata,species,wfo-4000011787,DC.,Asteraceae,,,NA,Dimorphotheca,,sinuata,,species,Valid,Prodr. 6: 72 (1838),Accepted,,,NA,"Source in seed data: gcc Update namepublishedIn from Prodr. [A. P. de Candolle] 6: 72. 1838 [1837 publ. early Jan 1838]  to Prodr. 6: 72 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thepl",http://www.theplantlist.org/tpl1.1/record/gcc-138788,The Asteraceaae TEN,A,gcc-138788,,FALSE,,,
Hirpicium bechuanense,Hirpicium bechuanense,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,565,1,wfo-0000110682,urn:lsid:ipni.org:names:224934-1,GCC-976651C1-6A89-4FD9-8EEC-0CFA97F4F8CE,Hirpicium bechuanense,species,wfo-4000017983,(S.Moore) Roessler,Asteraceae,,,NA,Hirpicium,,bechuanense,,species,Valid,Mitt. Bot. Staatssamml. München iii. 343 (1959),Accepted,,wfo-0000126914,NA,"Source in seed data: gcc Update namepublishedIn from Mitt. Bot. Staatssamml. München 3: 343. 1959  to Mitt. Bot. Staatssamml. München iii. 343 (1959) , information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://",http://www.theplantlist.org/tpl1.1/record/gcc-6975,The Asteraceaae TEN,A,gcc-6975,,FALSE,,,
Anvillea garcinii,Anvillea garcinii,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,566,1,wfo-0000118603,urn:lsid:ipni.org:names:177721-1,GCC-D237AD4A-4707-4664-8FFE-6C6B3246761A,Anvillea garcinii,species,wfo-4000002548,DC.,Asteraceae,,,NA,Anvillea,,garcinii,,species,Valid,Prodr. 5: 487 (1836),Accepted,,wfo-0000138967,NA,"Source in seed data: gcc Update namepublishedIn from 487 1836  to Prodr. 5: 487 (1836), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-79922 >The Plant List v.1.1",http://www.theplantlist.org/tpl1.1/record/gcc-79922,The Asteraceaae TEN,A,gcc-79922,,FALSE,,,
Xanthosoma sagittifolium,Xanthosoma sagittifolium,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,567,1,wfo-0000334780,urn:lsid:ipni.org:names:89373-1,215144,Xanthosoma sagittifolium,species,wfo-4000040897,(L.) Schott,Araceae,,,NA,Xanthosoma,,sagittifolium,,species,Valid,Melet. Bot. : 19 (1832),Accepted,,wfo-0000281393,NA,"Source in seed data: wcs Update namepublishedIn from Melet. Bot. i. 19. 1832  to Melet. Bot. : 19 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-215144 >T",http://www.theplantlist.org/tpl1.1/record/kew-215144,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-215144,,FALSE,,,
Xanthosoma sagittifolium,Xanthosoma sagittifolium,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,567,2,wfo-0000334780,urn:lsid:ipni.org:names:89373-1,215144,Xanthosoma sagittifolium,species,wfo-4000040897,(L.) Schott,Araceae,,,NA,Xanthosoma,,sagittifolium,,species,Valid,Melet. Bot. : 19 (1832),Accepted,,wfo-0000281393,NA,"Source in seed data: wcs Update namepublishedIn from Melet. Bot. i. 19. 1832  to Melet. Bot. : 19 (1832), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-215144 >T",http://www.theplantlist.org/tpl1.1/record/kew-215144,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-215144,,TRUE,Synonym,wfo-0000334781,Xanthosoma sagittifolium
Xanthosoma sagittifolium,Xanthosoma sagittifolium,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,567,3,wfo-0000334795,urn:lsid:ipni.org:names:89384-1,215158,Xanthosoma undipes,species,wfo-4000040897,K.Koch,Araceae,,,NA,Xanthosoma,,undipes,,species,Valid,Bonplandia (Hannover) 4: 4 (1856),Accepted,,wfo-0000950267,NA,"Source in seed data: wcs Updated scientificnameAuthorship from (K.Koch & C.D.Bouché) K.Koch to K.Koch, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-215158 >The",http://www.theplantlist.org/tpl1.1/record/kew-215158,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-215158,,TRUE,Synonym,wfo-0000334782,Xanthosoma sagittifolium
Lupinus polyphyllus,Lupinus polyphyllus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Inf,568,1,wfo-0000213847,urn:lsid:ipni.org:names:504939-1,8908,Lupinus polyphyllus,species,wfo-4000022442,Lindl.,Fabaceae,,,NA,Lupinus,,polyphyllus,,species,Valid,Bot. Reg.13: t. 1095 (1827),Accepted,,,NA,"Source in seed data: ildis Update namepublishedIn from  to Bot. Reg. 13: t. 1095 (1827), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-8908 >The Plant List v.1.1",https://www.legumedata.org/taxonomy/taxon/346871,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,ild-8908,,FALSE,,,
